time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,total_transaction_cost,total_expenditure_hourly,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
74,26028.449999999993,0,26028.449999999993,0.05,0.058,0.137,2.0179999992251396,0.645,0.645,0,13002,13002,0,4,2,4,0,2,2,352602.1285714287,0.04484444443369284,,0.044444444444444446,0.044444444444444446,,,,,,,0,
75,25542.73333333333,0,25542.73333333333,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,328087.4452380954,0,,0,0.044444444444444446,,,,,,,0,
76,30606.466666666664,0,30606.466666666664,0,0.062,0.062,0.6190000027418137,0,0,0,0,0,0,1,0,1,0,1,2,302176.04523809534,0.01375555561389774,,0.022222222222222223,0.044444444444444446,,,,,,,0,
77,33303.16666666665,0,33303.16666666665,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,279019.5785714287,0,,0,0.044444444444444446,,,,,,,0,
78,39405.81666666666,180.95,39224.86666666666,0.049,0.058,0.137,1.4809999987483025,0.109,0.109,0,2216,2216,0,4,2,4,0,2,2,267676.6119047621,0.03291111107682809,,0.044444444444444446,0.044444444444444446,,,,,,,0,
79,48158.86666666667,2588.5166666666655,45570.350000000006,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,254354.49523809543,0,,0,0.044444444444444446,,,,,,,0,
80,45564.849999999984,27425.316666666662,18139.533333333322,0.015,0.058,0.137,1.4400000013411045,0.066,0.066,0,4458,4458,0,4,2,4,0,2,2,259122.61190476213,0.03200000006472692,,0.044444444444444446,0.044444444444444446,,,,,,,0,
81,45052.99999999998,70257.23333333332,-25204.233333333344,0.042,0.058,0.137,1.4389999993145466,0.067,0.067,0,1606,1606,0,4,2,4,0,2,2,283410.3785714287,0.03197777771856636,,0.044444444444444446,0.044444444444444446,,,,,,,0,
82,40206.09999999999,112914.96666666665,-72708.86666666665,0.016,0.058,0.137,1.4030000008642673,0.03,0.03,0,1922,1922,0,4,2,4,0,2,2,294996.9119047621,0.03117777779698372,,0.044444444444444446,0.044444444444444446,,,,,,,0,
83,39267.76666666667,144133.54999999993,-104865.78333333327,0.009,0.058,0.137,1.4060000032186508,0.034,0.034,0,3763,3763,0,4,2,4,0,2,2,302954.0952380954,0.031244444544427097,,0.044444444444444446,0.044444444444444446,,,,,,,0,
84,39318.71666666667,160029.28333333335,-120710.56666666668,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,305375.92857142875,0,,0,0.044444444444444446,,,,,,,0,
85,35046.91666666666,159609.00000000003,-124562.08333333337,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,305375.92857142875,0,,0,0.044444444444444446,,,,,,,0,
86,35325.816666666666,147922.29999999996,-112596.4833333333,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,304069.06190476206,0,,0,0.044444444444444446,,,,,,,0,
87,33653.36666666667,117372.98333333337,-83719.6166666667,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,303005.2452380954,0,,0,0.044444444444444446,,,,,,,0,
88,33522.29999999999,63433.71666666667,-29911.41666666668,0,0.062,0.062,0.6189999990165234,0,0,0,0,0,0,1,0,1,0,1,2,297308.5285714287,0.013755555497482419,,0.022222222222222223,0.044444444444444446,,,,,,,0,
89,52531.78333333334,8063.766666666666,44468.01666666668,0.051,0.05566666666666667,0.397,5.991999998688698,2.022,2.022,0,39750,39750,0,12,6,12,0,6,2,300603.5285714287,0.13315555558074266,,0.13333333333333333,0.044444444444444446,,,,,,,0,
90,63289.74999999999,0,63289.74999999999,0.073,0.05475,1.316,22.46900000050664,9.313,9.313,0,126950,126950,0,41,21,41,0,20,2,401373.4785714287,0.49931111111072823,,0.4444444444444444,0.044444444444444446,,,,,,,0,
91,67390.33333333333,0,67390.33333333333,0.054,0.055,0.852,13.014000002294779,4.503,4.503,0,83472,83472,0,26,13,26,0,13,2,433761.4785714287,0.2892000000574626,,0.28888888888888886,0.044444444444444446,,,,,,,0,
92,58925.05,1.45,58923.600000000006,0.046,0.057,0.203,2.875,0.853,0.853,0,18426,18426,0,6,3,6,0,3,2,398094.91190476203,0.06388888886431232,,0.06666666666666667,0.044444444444444446,,,,,,,0,
93,51463.99999999998,3.4000000000000004,51460.59999999998,0.035,0.0558,0.332,4.256999999284744,0.937,0.937,0,26477,26477,0,10,5,10,0,5,2,377597.3785714287,0.094600000011269,,0.1111111111111111,0.044444444444444446,,,,,,,0,
94,44433.649999999994,1.9166666666666665,44431.73333333333,0.046,0.057,0.203,2.989000003784895,0.969,0.969,0,21207,21207,0,6,3,6,0,3,2,359447.16190476203,0.06642222229856998,,0.06666666666666667,0.044444444444444446,,,,,,,0,
95,33118.78333333334,1.0333333333333332,33117.75000000001,0.054,0.05542857142857143,0.461,7.255999997258186,2.638,2.638,0,48431,48431,0,14,7,14,0,7,2,384706.1952380955,0.16124444437446073,,0.15555555555555556,0.044444444444444446,,,,,,,0,
96,28881.616666666658,0.7666666666666666,28880.84999999999,0.055,0.0558,0.332,4.517000000923872,1.197,1.197,0,21597,21597,0,10,5,10,0,5,2,380562.22857142874,0.10037777776597068,3.3999999999999995,0.1111111111111111,0.044444444444444446,1.711111111111111,1.0666666666666667,1.5960666668252088,0,0,23.635000000000005,0,
97,30038.28333333333,0,30038.28333333333,0,0.062,0.062,0.6189999990165234,0,0,0,0,0,0,1,0,1,0,1,2,350523.94523809553,0.01375555555569008,,0.022222222222222223,0.044444444444444446,,,,,,,0,
98,30132.800000000003,0.4,30132.4,0.04,0.057,0.203,3.6270000003278255,0.639,0.639,0.872,15768,15768,6000,7,3,6,1,3,2,350507.6119047623,0.08059999998658895,,0.06666666666666667,0.044444444444444446,,,,,,,33.33333333333333,
