time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,nat_grid_volume,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,hourly_expenditure,avg_expenditure_hourly,avg_transactions_day,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
99,61.38900000000002,0.004,61.38500000000002,0,0.054558139534883726,0,4.651,81,0,43,38,43,0,323249,0.40632098680362105,3749883.5020370367,1,0.5308641975308642,0,,,,,,0,0
100,69.11800000000001,0.005,69.11300000000001,0,0.054553191489361705,0,4.281,81,0,47,34,47,0,341267,0.39630864281207323,3749883.105728394,1,0.5802469135802469,0,,,,,,0,0
101,66.80900000000001,0.005,66.80400000000002,0,0.054575,0,4.923,81,0,40,41,40,0,319848,0.413456788752228,3749882.692271605,1,0.49382716049382713,0,,,,,,0,0
102,88.50999999999995,0.256,88.25399999999995,0,0.05457142857142857,0,7.203,81,0,42,39,42,0,307546,0.3834197516553104,3749882.3088518535,1,0.5185185185185185,0,,,,,,0,0
103,100.08999999999996,6.6899999999999995,93.39999999999996,0,0.05457142857142857,0,5.405,80,0,42,38,42,0,296932,0.42240740824490786,3749881.8864444452,0.9876543209876543,0.5185185185185185,0,,,,,,0,0
104,79.60700000000001,39.60299999999997,40.00400000000004,0,0.054642857142857146,0,3.875,59,0,28,31,28,0,297493,0.3989259288646281,3749881.4875185164,0.7283950617283951,0.345679012345679,0,,,,,,0,0
105,67.21900000000004,112.776,-45.55699999999996,0,0.05522222222222222,0,1.131,20,0,9,11,9,0,299809,0.27699999744072556,3749881.210518519,0.24691358024691357,0.1111111111111111,0,,,,,,0,0
106,69.21100000000001,167.59799999999996,-98.38699999999994,0,0.05522222222222222,0,0.873,13,0,9,4,9,0,281420,0.08955555642023683,3749881.1209629625,0.16049382716049382,0.1111111111111111,0,,,,,,0,0
107,65.85100000000003,247.7300000000001,-181.87900000000008,0,0.062,0,0.34,4,0,1,3,1,0,269248,0.07732098689302802,3749881.0436419756,0.04938271604938271,0.012345679012345678,0,,,,,,0,0
108,60.160999999999994,280.228,-220.067,0,0.057,0,0,3,0,3,0,3,0,257296,0.01571604935452342,3749881.0279259263,0.037037037037037035,0.037037037037037035,0,,,,,,0,0
109,52.29600000000001,271.7459999999999,-219.44999999999993,0,0.062,0,0.074,2,0,1,1,1,0,238342,0.021061728708446026,3749881.0068641976,0.024691358024691357,0.012345679012345678,0,,,,,,0,0
110,59.483999999999995,180.14500000000007,-120.66100000000007,0,0.062,0,0.073,2,0,1,1,1,0,235594,0.009851851500570774,3749880.997012346,0.024691358024691357,0.012345679012345678,0,,,,,,0,0
111,67.41900000000001,80.627,-13.207999999999984,0,NaN,0,0.203,1,0,0,1,0,0,220082,0.009839506819844246,3749880.987172839,0.012345679012345678,0,0,,,,,,0,0
112,68.67100000000002,55.45899999999999,13.212000000000032,0,0.05566666666666667,0,0.375,7,0,6,1,6,0,203431,0.0038024690002202988,3749880.98337037,0.08641975308641975,0.07407407407407407,0,,,,,,0,0
113,86.333,8.738000000000001,77.595,0,0.055,0,0.962,14,0,12,2,12,0,187875,0.047135801054537296,3749880.936234569,0.1728395061728395,0.14814814814814814,0,,,,,,0,0
114,98.965,4.504,94.461,0,0.05459459459459459,0,0.246,38,0,37,1,37,0,203878,0.09596296539530158,3749880.840271604,0.4691358024691358,0.4567901234567901,0,,,,,,0,0
115,98.89800000000002,4.555,94.34300000000002,0,0.054558139534883726,0,2.588,54,0,43,11,43,0,203571,0.2537037022411823,3749880.5865679015,0.6666666666666666,0.5308641975308642,0,,,,,,0,0
116,105.457,4.3759999999999994,101.08099999999999,0,0.05453061224489796,0,4.007,65,0,49,16,49,0,207582,0.33579012425616384,3749880.2507777773,0.8024691358024691,0.6049382716049383,0,,,,,,0,0
117,90.59700000000001,3.8360000000000003,86.76100000000001,0,0.05452941176470588,0,5.108,73,0,51,22,51,0,209366,0.40013580257073045,3749879.8506419747,0.9012345679012346,0.6296296296296297,0,,,,,,0,0
118,74.95699999999998,2.671,72.28599999999997,0,0.05452941176470588,0,4.059,76,0,51,25,51,0,211091,0.4349629613570869,3749879.4156790134,0.9382716049382716,0.6296296296296297,0,,,,,,0,0
119,59.299000000000014,1.62,57.679000000000016,0,0.05452941176470588,0,2.857,78,0,51,27,51,0,208422,0.4259135811589658,3749878.989765432,0.9629629629629629,0.6296296296296297,0,,,,,,0,0
120,52.705,0.399,52.306,0,0.05453061224489796,0,3.458,79,0,49,30,49,0,206530,0.41362963058054447,3749878.5761358016,0.9753086419753086,0.6049382716049383,0,8.74074074074074,0,5.718888888135552,5.469135802469135,0,0,0
121,55.275,0.004,55.271,0,0.05453061224489796,0,3.504,80,0,49,31,49,0,202981,0.41148148104548454,3749878.1646543206,0.9876543209876543,0.6049382716049383,0,,,,,,0,0
122,63.074,0.004,63.07,0,0.05454166666666666,0,4.077,80,0,48,32,48,0,195380,0.41333333356305957,3749877.751320987,0.9876543209876543,0.5925925925925926,0,,,,,,0,0
123,57.809000000000005,0.004,57.80500000000001,0,0.05453191489361702,0,3.509,79,0,47,32,47,0,197181,0.4149753078818321,3749877.336345679,0.9753086419753086,0.5802469135802469,0,,,,,,0,0
124,59.26200000000001,0.004,59.25800000000001,0,0.054575,0,4.624,79,0,40,39,40,0,215003,0.4012716067954898,3749876.9350740723,0.9753086419753086,0.49382716049382713,0,,,,,,0,0
125,56.93299999999999,0.004,56.928999999999995,0,0.054553191489361705,0,3.166,79,0,47,32,47,0,186937,0.3771111071109772,3749876.557962965,0.9753086419753086,0.5802469135802469,0,,,,,,0,0
126,76.69800000000004,0.004,76.69400000000003,0,0.054575,0,6.71,79,0,40,39,40,0,210604,0.3970740754157305,3749876.16088889,0.9753086419753086,0.49382716049382713,0,,,,,,0,0
127,99.05299999999998,0.099,98.95399999999998,0,0.054568181818181814,0,6.791,79,0,44,35,44,0,189669,0.40291358157992363,3749875.757975308,0.9753086419753086,0.5432098765432098,0,,,,,,0,0
