time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
101,14477.116666666665,0,14477.116666666665,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,71815.00000000003,0,,0,0.1,,,,,,,0,0
102,21700.36666666666,245.9666666666666,21454.399999999994,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,39368.26666666669,0,,0,0.1,,,,,,,0,0
103,23308.06666666667,2118.233333333333,21189.833333333336,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,25688.433333333356,0,,0,0.1,,,,,,,0,0
104,19112.966666666667,11830.283333333333,7282.683333333334,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,46653.000000000015,0,,0,0.1,,,,,,,0,0
105,16510.149999999998,32432.08333333333,-15921.93333333333,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,78995.70000000004,0,,0,0.1,,,,,,,0,0
106,12605.733333333332,46474.250000000015,-33868.516666666685,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,43570.54523809526,0,,0,0.1,,,,,,,0,0
107,15393.783333333333,66182.90000000001,-50789.116666666676,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,15139.01190476191,0,,0,0.1,,,,,,,0,0
108,13780.599999999999,72817.16666666667,-59036.56666666667,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,0,0,,0,0.1,,,,,,,0,0
109,13487.783333333331,68758.81666666667,-55271.03333333333,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,0,0,,0,0.1,,,,,,,0,0
110,13533.6,47407.116666666654,-33873.516666666656,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,0,0,,0,0.1,,,,,,,0,0
111,14669.366666666665,21573.716666666664,-6904.3499999999985,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,35290.83333333336,0,,0,0.1,,,,,,,0,0
112,15511.68333333333,16455.45,-943.7666666666701,0.047,0.058,0.62,5.924,0,,13191,0,4,2,4,0,2,2,68840.58333333336,0,,0.1,0.1,,,,,,,0,0
113,20364.083333333332,5290.783333333333,15073.3,0.039,0.05625,1.016,11.899,0,,25711,0,8,4,8,0,4,2,151017.59523809532,0.09965000004740432,,0.2,0.1,,,,,,,0,0
114,20725.050000000003,4499.366666666667,16225.683333333336,0.024,0.057,0.334,6.67,0,,13699,0,6,3,6,0,3,2,145893.4452380953,0.18424999993294477,,0.15,0.1,,,,,,,0,0
115,23576.066666666666,4544.616666666667,19031.449999999997,0.042,0.05525,2.21,24.912,0,,52667,0,16,8,16,0,8,2,187732.84523809532,0.11780000000726432,,0.4,0.1,,,,,,,0,0
116,24606.466666666667,4365.116666666666,20241.350000000002,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,163413.39523809528,0.37359999993350357,,0.05,0.1,,,,,,,0,0
117,19402.649999999998,3824.983333333333,15577.666666666664,0.042,0.058,0.444,6.879,0,,10629,0,4,2,4,0,2,2,156586.99523809535,0.030950000043958426,,0.1,0.1,,,,,,,0,0
118,19404.249999999993,2666.0666666666666,16738.183333333327,0.018,0.058,0.223,2.816,0,,12634,0,4,2,4,0,2,2,154927.01190476192,0.09080000000540167,,0.1,0.1,,,,,,,0,0
119,14081.066666666666,1616.05,12465.016666666666,0.041,0.057,0.654,7.021,0,,15789,0,6,3,6,0,3,2,160321.9285714287,0.07974999991711229,,0.15,0.1,,,,,,,0,0
120,12879.699999999999,395.19999999999993,12484.499999999998,0.035,0.057,0.581,5.318,0,,16401,0,6,3,6,0,3,2,168454.47857142866,0.1338000000687316,3,0.15,0.1,1.55,2.4,1.2527999999001622,0.05,0,6.145,0,0
121,15806.15,0,15806.15,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,158576.71190476196,0.13010000000940636,,0,0.1,,,,,,,0,0
122,14797.333333333334,0,14797.333333333334,0.039,0.058,0.391,4.135,0,,9988,0,4,2,4,0,2,2,157062.72857142866,0,,0.1,0.1,,,,,,,0,0
123,18063.316666666662,0,18063.316666666662,0.045,0.058,0.657,4.569,0,,14744,0,4,2,4,0,2,2,159293.52857142861,0.08819999994011596,,0.1,0.1,,,,,,,0,0
124,17989.61666666667,0,17989.61666666667,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,141739.81190476197,0.10150000004796311,,0.05,0.1,,,,,,,0,0
125,14271.766666666666,0,14271.766666666666,0.028,0.058,0.224,3.182,0.862,,8033,6000,5,2,4,1,2,2,145479.16190476198,0.030949999927543104,,0.1,0.1,,,,,,,50,0
126,19615.516666666666,0,19615.516666666666,0.036,0.05625,0.811,9.439,0,,22562,0,8,4,8,0,4,2,152527.07857142863,0.12815000006230548,,0.2,0.1,,,,,,,0,0
127,24126.73333333333,86.5,24040.23333333333,0.034,0.057,0.615,8.05,0,,18339,0,6,3,6,0,3,2,150802.0452380953,0.17404999991413206,,0.15,0.1,,,,,,,0,0
128,20320.816666666666,1008.4,19312.416666666664,0.035,0.05566666666666667,1.107,13.807,0,,31504,0,12,6,12,0,6,2,172406.0952380953,0.1319000000366941,,0.3,0.1,,,,,,,0,0
129,18500.699999999997,6203.133333333332,12297.566666666666,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,153871.06190476197,0.253800000064075,,0.05,0.1,,,,,,,0,0
130,13451.683333333332,8928.983333333332,4522.700000000001,0,0.054,0,0,0,,0,0,1,0,1,0,0,3,114601.83333333339,0.030900000012479722,,0,0.15,,,,,,,0,0
131,14834.18333333333,9304.883333333331,5529.299999999999,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,116434.02857142863,0.027200000011362135,,0.05,0.1,,,,,,,0,0
132,16349.866666666669,7692.666666666666,8657.200000000003,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,109962.16190476198,0.030949999927543104,,0.05,0.1,,,,,,,0,0
133,13228.033333333333,6403.666666666666,6824.366666666667,0.049,0.05666666666666667,0.567,6.392,0.862,,11404,6000,7,3,6,1,2,3,135621.24523809532,0.030950000043958426,,0.1,0.15,,,,,,,33.33333333333333,0
134,16459.38333333333,5552.533333333332,10906.849999999999,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,130964.04523809534,0.17754999996395782,,0.05,0.1,,,,,,,0,0
135,20831.83333333334,6103.916666666666,14727.916666666673,0.035,0.05625,0.778,8.621,0,,22016,0,8,4,8,0,4,2,139501.74523809532,0.030950000043958426,,0.2,0.1,,,,,,,0,0
136,19317.849999999995,4656.466666666667,14661.383333333328,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,134685.52857142861,0.17239999998128042,,0.05,0.1,,,,,,,0,0
137,23125.883333333328,3766.3166666666657,19359.566666666662,0.044,0.055375,2.435,24.89,0,,55267,0,16,8,16,0,8,2,181922.84523809532,0.030950000043958426,,0.4,0.1,,,,,,,0,0
138,26478.63333333333,3477.5666666666666,23001.066666666666,0.035,0.058,0.44,6.641,0,,12692,0,4,2,4,0,2,2,171662.8952380953,0.3850000000093132,,0.1,0.1,,,,,,,0,0
139,26332.96666666667,4458.466666666666,21874.500000000004,0.072,0.058,0.916,14.26,0,,12771,0,4,2,4,0,2,2,160718.29523809536,0.09065000008558854,,0.1,0.1,,,,,,,0,0
140,23955.83333333333,4097.849999999999,19857.98333333333,0.055,0.05625,1.224,19.424,0,,22272,0,8,4,8,0,4,2,167876.22857142868,0.11444999993545935,,0.2,0.1,,,,,,,0,0
141,22331.033333333333,3676.4333333333334,18654.6,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,146054.44523809536,0.19474999990779907,,0,0.1,,,,,,,0,0
